48 NGÀY LẤY  GỐC TIẾNG ANH TOÀN DIỆN - CÔ VŨ MAI PHƯƠNG,,,,,,
NGÀY 1. THỂ KHẲNG ĐỊNH VÀ PHỦ ĐỊNH CỦA ĐỘNG TỪ TO BE,,,,,,
1,Thể khẳng định và phủ định của động từ to be,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thể khẳng định và phủ định của động từ to be,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 2. THỂ NGHI VẤN CỦA ĐỘNG TỪ TO BE,,,,,,
1,Thể nghi vấn của động từ to be,,,,FILE ĐỀ,BÀI HỌC
NGÀY 3 CÂU HỎI WHO VÀ WHAT VỚI ĐỘNG TỪ TO BE,,,,,,
,,,,,,
1,Câu hỏi Who và What với động từ to be,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Câu hỏi Who và What với động từ to be,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 4. CÂU HỎI WHERE VÀ WHEN VỚI ĐỘNG TỪ TO BE,,,,,,
1,Câu hỏi Where và When với động từ to be,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Câu hỏi Where và When với động từ to be,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 5. ĐỘNG TỪ THƯỜNG Ở HIỆN TẠI	,,,,,,
1,Động từ thường ở hiện tại,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Động từ thường ở hiện tại,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 6. THỂ PHỦ ĐỊNH CỦA ĐỘNG TỪ THƯỜNG Ở HIỆN TẠI,,,,,,
1,Thể phủ định của động từ thường ở hiện tại,,,,FILE ĐỀ ,BÀI HỌC
2,Bài thi Online: Thể phủ định của động từ thường ở hiện tại,,,,FILE ĐỀ ,ĐÁP ÁN
NGÀY 7. THỂ NGHI VẤN CỦA ĐỘNG TỪ THƯỜNG Ở HIỆN TẠI,,,,,,
1,Thể nghi vấn của động từ thường ở hiện tại,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thể nghi vấn của động từ thường ở hiện tại,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 8. THÌ HIỆN TẠI ĐƠN,,,,,,
1,Thì hiện tại đơn,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì hiện tại đơn,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 9. TỪ LOẠI,,,,,,
1,Từ loại,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Từ loại,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 10. THÌ HIỆN TẠI TIẾP DIỄN,,,,,,
1,Thì hiện tại tiếp diễn,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì hiện tại tiếp diễn,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 11. PHÂN BIỆT THÌ HIỆN TẠI ĐƠN VÀ HIỆN TẠI TIẾP DIỄN,,,,,,
1,Phân biệt hiện tại đơn và hiện tại tiếp diễn,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Phân biệt hiện tại đơn và hiện tại tiếp diễn,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 12. THÌ QUÁ KHỨ ĐƠN THỂ KHẲNG ĐỊNH,,,,,,
1,Thì quá khứ đơn thể khẳng định,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì quá khứ đơn thể khẳng định,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 13. THÌ QUÁ KHỨ ĐƠN THỂ PHỦ ĐỊNH VÀ NGHI VẤN,,,,,,
1,Thì quá khứ đơn thể phủ định và nghi vấn,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì quá khứ đơn thể phủ định và nghi vấn,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 14. THÌ QUÁ KHỨ TIẾP DIỄN,,,,,,
1,Thì quá khứ tiếp diễn,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì quá khứ tiếp diễn,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 15. THÌ HIỆN TẠI HOÀN THÀNH,,,,,,
1,Thì hiện tại hoàn thành,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì hiện tại hoàn thành,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 16. THÌ TƯƠNG LAI ĐƠN,,,,,,
1,Thì tương lai đơn,,,,FILE ĐỀ,BÀI HỌC
2,Bài thi Online: Thì tương lai đơn,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 17. THÌ TƯƠNG LAI HOÀN THÀNH,,,,,,
1,Thì tương lai hoàn thành,,,,FILE ĐỀ,BÀI HỌC
2,Bài Thi Online : Thi Tương Lai Hoàn Thành,,,,FILE ĐỀ,ĐÁP ÁN
NGÀY 18. HỌC NGỮ ÂM VỚI GIÁO VIÊN NƯỚC NGOÀI,,,,,,
1,Học ngữ âm với giáo viên nước ngoài,,,,FILE ĐỀ,BÀI HỌC
